time,open,high,low,close,volume
2023-04-10 07:10:00,8.13,8.139,8.13,8.13,735
2023-04-10 07:15:00,8.13,8.13,8.11,8.11,4142
2023-04-10 07:20:00,8.11,8.11,8.08,8.08,8365
2023-04-10 07:25:00,8.09,8.09,8.09,8.09,1050
2023-04-10 07:30:00,8.09,8.09,8.07,8.07,5766
2023-04-10 07:35:00,8.06,8.06,8.05,8.05,2762
2023-04-10 07:40:00,8.05,8.07,8.05,8.07,1220
2023-04-10 07:45:00,8.06,8.06,8.06,8.06,705
2023-04-10 07:50:00,8.06,8.06,8.06,8.06,190
2023-04-10 07:55:00,8.06,8.06,8.06,8.06,200
2023-04-10 08:00:00,8.06,8.06,8.05,8.05,1723
2023-04-10 08:05:00,8.1298,8.1485,8.02,8.06,94010
2023-04-10 08:10:00,8.06,8.06,8.03,8.05,7420
2023-04-10 08:15:00,8.03,8.05,8.03,8.05,6647
2023-04-10 08:20:00,8.04,8.05,8.02,8.03,12973
2023-04-10 08:25:00,8.02,8.02,8.0097,8.01,17057
2023-04-10 08:30:00,8.0,8.01,8.0,8.0,16074
2023-04-10 08:35:00,8.01,8.02,8.01,8.01,10897
2023-04-10 08:40:00,8.0002,8.02,8.0,8.02,4908
2023-04-10 08:45:00,8.02,8.05,8.01,8.02,3322
2023-04-10 08:50:00,8.02,8.03,8.0,8.02,6482
2023-04-10 08:55:00,8.0,8.03,8.0,8.03,8092
2023-04-10 09:00:00,8.03,8.03,8.02,8.03,3766
2023-04-10 09:05:00,8.02,8.03,8.02,8.03,2466
2023-04-10 09:10:00,8.02,8.02,8.02,8.02,2091
2023-04-10 09:15:00,8.02,8.03,8.02,8.03,8976
2023-04-10 09:20:00,8.02,8.03,8.02,8.02,5993
2023-04-10 09:25:00,8.03,8.04,8.01,8.01,19477
2023-04-10 09:30:00,8.01,8.04,8.01,8.01,33222
2023-04-10 09:35:00,8.0,8.03,7.95,7.9599,1035181
2023-04-10 09:40:00,7.955,7.96,7.9,7.945,421051
2023-04-10 09:45:00,7.9499,8.015,7.93,8.0,468146
2023-04-10 09:50:00,8.0091,8.02,7.95,8.02,415060
2023-04-10 09:55:00,8.01,8.06,8.01,8.0313,555472
2023-04-10 10:00:00,8.04,8.075,8.025,8.04,324287
2023-04-10 10:05:00,8.045,8.05,8.0,8.035,250269
2023-04-10 10:10:00,8.035,8.04,7.98,8.025,469992
2023-04-10 10:15:00,8.02,8.03,7.97,7.99,273509
2023-04-10 10:20:00,7.99,8.03,7.99,8.025,251548
2023-04-10 10:25:00,8.02,8.075,8.01,8.075,315319
2023-04-10 10:30:00,8.075,8.09,8.04,8.0495,300471
2023-04-10 10:35:00,8.05,8.08,8.05,8.0635,236323
2023-04-10 10:40:00,8.065,8.12,8.065,8.0999,360399
2023-04-10 10:45:00,8.09,8.14,8.06,8.134,352502
2023-04-10 10:50:00,8.135,8.14,8.11,8.14,302348
2023-04-10 10:55:00,8.14,8.14,8.12,8.135,264348
2023-04-10 11:00:00,8.135,8.15,8.1,8.105,400382
2023-04-10 11:05:00,8.105,8.15,8.09,8.1492,410132
2023-04-10 11:10:00,8.15,8.17,8.14,8.16,472828
2023-04-10 11:15:00,8.15,8.18,8.15,8.1606,270756
2023-04-10 11:20:00,8.165,8.17,8.14,8.15,291441
2023-04-10 11:25:00,8.155,8.18,8.15,8.155,236633
2023-04-10 11:30:00,8.15,8.18,8.145,8.1717,227438
2023-04-10 11:35:00,8.175,8.18,8.15,8.15,147567
2023-04-10 11:40:00,8.155,8.16,8.13,8.155,197081
2023-04-10 11:45:00,8.16,8.16,8.14,8.145,137461
2023-04-10 11:50:00,8.14,8.26,8.14,8.235,1890972
2023-04-10 11:55:00,8.2391,8.24,8.19,8.205,559207
2023-04-10 12:00:00,8.205,8.21,8.18,8.205,516780
2023-04-10 12:05:00,8.2011,8.21,8.17,8.175,448660
2023-04-10 12:10:00,8.1757,8.1757,8.15,8.15,210765
2023-04-10 12:15:00,8.1599,8.17,8.15,8.16,175004
2023-04-10 12:20:00,8.155,8.17,8.15,8.155,152253
2023-04-10 12:25:00,8.155,8.16,8.14,8.155,158124
2023-04-10 12:30:00,8.155,8.17,8.15,8.165,106207
2023-04-10 12:35:00,8.165,8.19,8.16,8.1895,144431
2023-04-10 12:40:00,8.185,8.21,8.18,8.205,181941
2023-04-10 12:45:00,8.21,8.23,8.2,8.225,173365
2023-04-10 12:50:00,8.225,8.25,8.22,8.245,221797
2023-04-10 12:55:00,8.245,8.26,8.2448,8.255,641429
2023-04-10 13:00:00,8.2504,8.27,8.25,8.265,223772
2023-04-10 13:05:00,8.265,8.3,8.26,8.29,280651
2023-04-10 13:10:00,8.295,8.35,8.2913,8.335,626547
2023-04-10 13:15:00,8.335,8.37,8.33,8.3573,542257
2023-04-10 13:20:00,8.355,8.3899,8.35,8.385,538861
2023-04-10 13:25:00,8.38,8.43,8.38,8.3999,958890
2023-04-10 13:30:00,8.395,8.43,8.3907,8.425,491385
2023-04-10 13:35:00,8.42,8.44,8.41,8.41,544340
2023-04-10 13:40:00,8.42,8.42,8.39,8.395,361437
2023-04-10 13:45:00,8.391,8.3999,8.3615,8.37,315219
2023-04-10 13:50:00,8.37,8.38,8.35,8.3729,199813
2023-04-10 13:55:00,8.3799,8.39,8.34,8.34,209215
2023-04-10 14:00:00,8.34,8.3497,8.32,8.3383,171215
2023-04-10 14:05:00,8.34,8.345,8.32,8.345,188235
2023-04-10 14:10:00,8.3401,8.36,8.32,8.325,161486
2023-04-10 14:15:00,8.32,8.35,8.32,8.335,177791
2023-04-10 14:20:00,8.34,8.36,8.33,8.36,96686
2023-04-10 14:25:00,8.3554,8.38,8.35,8.375,229856
2023-04-10 14:30:00,8.37,8.38,8.37,8.38,114610
2023-04-10 14:35:00,8.375,8.39,8.37,8.38,188450
2023-04-10 14:40:00,8.3809,8.4,8.38,8.3917,199711
2023-04-10 14:45:00,8.4,8.4,8.36,8.3675,169224
2023-04-10 14:50:00,8.365,8.38,8.3529,8.3692,247534
2023-04-10 14:55:00,8.37,8.4,8.37,8.395,316423
2023-04-10 15:00:00,8.395,8.4,8.39,8.4,101161
2023-04-10 15:05:00,8.39,8.4,8.37,8.385,231266
2023-04-10 15:10:00,8.385,8.4,8.38,8.385,249750
2023-04-10 15:15:00,8.385,8.39,8.36,8.3743,325704
2023-04-10 15:20:00,8.375,8.4,8.37,8.395,319374
2023-04-10 15:25:00,8.395,8.41,8.37,8.375,351701
2023-04-10 15:30:00,8.3782,8.379,8.36,8.365,264589
2023-04-10 15:35:00,8.362,8.3879,8.36,8.375,376441
2023-04-10 15:40:00,8.375,8.3899,8.36,8.385,290177
2023-04-10 15:45:00,8.385,8.3899,8.37,8.375,338635
2023-04-10 15:50:00,8.375,8.39,8.36,8.385,334367
2023-04-10 15:55:00,8.385,8.4,8.37,8.38,658464
2023-04-10 16:00:00,8.385,8.4,8.38,8.395,813843
2023-04-10 16:05:00,8.39,8.4,8.38,8.38,302589
